entity1,entity2,count
Osmanlı Devleti,Rusya,85
Fransa,İngiltere,75
Avrupa,Osmanlı Devleti,51
Rusya,İngiltere,51
Osmanlı,Osmanlı Devleti,50
Osmanlı Devleti,İngiltere,40
Fransa,Rusya,40
ABD,SSCB,37
Avusturya,Osmanlı Devleti,36
Almanya,Fransa,36
Almanya,İtalya,32
Türkiye,Yunanistan,30
Osmanlı,Rusya,29
Fransa,Osmanlı Devleti,28
Avusturya,Rusya,27
Anadolu,Osmanlı Devleti,25
Fransa,İtalya,25
ABD,Türkiye,21
Almanya,İngiltere,20
Anadolu,Rumeli,20
Avusturya,Fransa,19
Avrupa,Osmanlı,19
Fransa,Türkiye,18
Anadolu,İstanbul,18
Türkistan,Türkiye,18
Gazneli,Karahanlı,18
Almanya,Avrupa,18
Anadolu,Türkistan,17
Asya,Avrupa,17
Anadolu,Balkanlar,17
Osmanlı Devleti,İstanbul,16
Balkanlar,Osmanlı Devleti,16
Lehistan,Osmanlı Devleti,16
Osmanlı Devleti,Venedik,16
Bulgaristan,Yunanistan,16
Almanya,Japonya,16
İngiltere,İtalya,16
Akdeniz,Osmanlı Devleti,15
Anadolu,Avrupa,14
SSCB,Türkiye,14
Avusturya,Osmanlı,14
Büyük Selçuklu,Türkiye Selçuklu,14
Milletler Cemiyeti,Türkiye,14
Mısır,Osmanlı Devleti,14
Akdeniz,Karadeniz,14
Osmanlı Devleti,Yunanistan,14
Osmanlı,İngiltere,14
Hükûmet,İstanbul,13
Japonya,İtalya,13
Bulgaristan,Sırbistan,13
Hollanda,İngiltere,13
ABD,Fransa,13
Almanya,Avusturya,13
Osmanlı Devleti,Rumeli,13
Irak,Türkiye,13
Bursa,İznik,13
Türkiye,İngiltere,13
Avusturya,Macaristan,12
Osmanlı Devleti,İtilaf Devletleri,12
Karadeniz,Osmanlı Devleti,12
Suriye,Türkiye,12
Irak,İran,12
Avrupalı,Osmanlı Devleti,12
Mısır,Suriye,12
Avusturya,İngiltere,12
Hatay,Türkiye,12
ABD,Avrupa,12
Lehistan,Rusya,12
Bursa,Edirne,12
Dünya Savaşı,Türkiye,12
Anadolu,Osmanlı,11
Sırbistan,Yunanistan,11
Mısır,İsrail,11
Anadolu,Doğu Roma,11
Irak,Suriye,11
Balkan,Osmanlı Devleti,11
Ardahan,Kars,11
Almanya,Rusya,11
Avrupa,Fransa,11
Mustafa Kemal,İstanbul,11
Amerika,Avrupa,11
Avusturya,İtalya,11
Almanya,Dünya Savaşı,11
ABD,İngiltere,10
Edirne,İstanbul,10
Avrupa,Rusya,10
Avusturya,Lehistan,10
Osmanlı Devleti,İstanbul Antlaşması,10
Bulgaristan,Osmanlı Devleti,10
Avrupa,İngiltere,10
Avusturya,Venedik,10
Almanya,SSCB,10
Millî Mücadele,Mustafa Kemal,10
Kıbrıs,Osmanlı Devleti,9
Boğdan,Eflak,9
Fransa,Hollanda,9
Dünya Savaşı,Osmanlı Devleti,9
Karahanlı,Türkiye Selçuklu,9
Mısır,Osmanlı,9
Kıbrıs,Yunanistan,9
Afrika,Amerika,9
Karadağ,Sırbistan,9
Büyük Selçuklu,Karahanlı,9
Büyük Selçuklu,Gazneli,9
Ankara,İstanbul,9
Bursa,Orhan Gazi,9
Anadolu,Suriye,9
Almanya,Türkiye,9
Almanya,Osmanlı Devleti,9
Türk,Türkiye,8
Kırım,Osmanlı,8
Romanya,Yunanistan,8
Afrika,Osmanlı Devleti,8
Bulgaristan,Romanya,8
Rus,Rusya,8
Anadolu,Ankara,8
Boğdan,Osmanlı Devleti,8
Kıbrıs,Türkiye,8
Karadeniz,İstanbul,8
ABD,Almanya,8
Kavalalı Mehmet Ali Paşa,Osmanlı Devleti,8
Batum,Kars,8
Portekiz,İspanyol,8
Karadeniz,Rusya,8
Gazneli,Türkiye Selçuklu,8
Osmanlı,İstanbul,8
ABD,Dünya Savaşı,8
SSCB,İngiltere,8
Lehistan,Venedik,8
Ardahan,Batum,8
Medine,Mekke,8
Anadolu,Türkiye,8
Macaristan,Osmanlı Devleti,7
Kavalalı Mehmet Ali Paşa,Mısır,7
Almanya,Polonya,7
Kırım,Rus,7
Osmanlı,Rus,7
Avrupa,İtalya,7
Osmanlı Devleti,Trablusgarp,7
Anadolu,Türkiye Selçuklu Devleti,7
Anadolu,Bizans,7
Karadeniz,Kırım,7
Fransa,SSCB,7
Dünya Savaşı,SSCB,7
Mezopotamya,Mısır,7
Hacı Bektaş Veli,Yunus Emre,7
Amerika,İngiltere,7
Avrupa,Dünya Savaşı,7
Avrupalı,Osmanlı,7
Osmanlı,Rumeli,7
Dünya Savaşı,İtalya,7
Erzurum,Van,7
Fransa,Osmanlı,7
ABD,New York,7
Fransa,Prusya,7
İstanbul,İtilaf Devletleri,7
Bursa,İstanbul,7
Ankara,Mustafa Kemal,7
Kuzey Afrika,Osmanlı Devleti,7
Portekiz,İspanya,7
Anadolu,Selçuklu,7
Bursa,Osmanlı,7
TBMM,Türkiye,7
Eflak,Osmanlı Devleti,7
Avrupa,Katolik Kilisesi,7
Osmanlı Devleti,Rus,7
Osmanlı Devleti,İran,7
Anadolu,Mısır,7
ABD,Japonya,7
Macar,Osmanlı Devleti,7
Avrupa,İspanya,6
Mora,Osmanlı Devleti,6
Balkan Savaşları,Osmanlı Devleti,6
Anadolu,İran,6
İzmit,İznik,6
