Concept,Category,Average_Similarity
Nation/Identity,Political,0.66320884
Nation/Identity,Military,0.70657206
Nation/Identity,Cultural,0.8506298
Nation/Identity,Religious,0.1675416
Nation/Identity,Value,0.70657355
Nation/Identity,Economic,0.86921835
Nation/Identity,Ethnic,0.9074569
State,Political,0.66420513
State,Military,0.7048388
State,Cultural,0.8495409
State,Religious,0.1685707
State,Value,0.70636123
State,Economic,0.8675705
State,Ethnic,0.90519637
War,Political,0.6647579
War,Military,0.70707786
War,Cultural,0.84974235
War,Religious,0.16733237
War,Value,0.7073046
War,Economic,0.86837864
War,Ethnic,0.90665007
Religion,Political,0.66438526
Religion,Military,0.7060283
Religion,Cultural,0.8491978
Religion,Religious,0.16759442
Religion,Value,0.70713437
Religion,Economic,0.8686225
Religion,Ethnic,0.90715176
Culture,Political,0.6628399
Culture,Military,0.7064799
Culture,Cultural,0.8496735
Culture,Religious,0.16681764
Culture,Value,0.7055379
Culture,Economic,0.86855775
Culture,Ethnic,0.9071124
