,State Identification,National Identity,Territoriality,Ancestry,Citizenship,Language,Religion,Obedience,Historical Pride,Achievements,Militarism,Superiority,Unity/Diversity,Global Mission
State Identification,288,96,89,30,41,8,13,19,68,30,41,9,11,0
National Identity,96,299,36,28,42,29,10,40,86,60,11,12,14,2
Territoriality,89,36,426,86,52,15,35,13,79,42,54,19,7,0
Ancestry,30,28,86,221,11,20,29,2,51,23,18,12,1,5
Citizenship,41,42,52,11,163,19,14,16,23,5,9,6,9,0
Language,8,29,15,20,19,86,11,0,11,5,1,4,4,1
Religion,13,10,35,29,14,11,138,6,12,4,32,6,9,7
Obedience,19,40,13,2,16,0,6,91,6,5,3,0,4,0
Historical Pride,68,86,79,51,23,11,12,6,350,178,55,9,3,1
Achievements,30,60,42,23,5,5,4,5,178,264,46,18,2,5
Militarism,41,11,54,18,9,1,32,3,55,46,260,15,1,3
Superiority,9,12,19,12,6,4,6,0,9,18,15,98,0,3
Unity/Diversity,11,14,7,1,9,4,9,4,3,2,1,0,47,0
Global Mission,0,2,0,5,0,1,7,0,1,5,3,3,0,16
